Sample	condition	HECW2-AS1	ASPN	COL1A1.v20	CD38	CAMK2N1	ASPN.v24	TROAP	SRD5A2	EFNA2	PGM5-AS1	MYBPC1	UGT2B15	GMNN	AC069228.1	ctg_20	HOPX	USP9YP32	ctg_23	PTPRN2	SLC22A3	ANO7
CPCG_0353_F1	HR	1.99348216899468	0	0	2.05043715947213	0	0.553191440047798	0	1.37502452157105	0	1.98509571477908	3.01822214887276	0	0.745829826232681	0	0.479744278051742	0	0	0.907285043883916	2.15573091606514	1.6695218375762	3.61301694313725
CPCG_0354_F1	LR	2.14730803525969	0	0.105076837772161	1.22662418898116	0.244505664261551	0.719088575318042	0	0.914587456205989	0	0.845675758903662	2.40029943315516	0	0.153745401065917	0.244505664261551	0.200154857617232	0	0	1.50186888918407	2.66381356099691	1.60716623289969	3.8106503476777
CPCG_0355_F1	LR	2.21849444152145	0.132138944837203	0	1.57157108825869	0.132138944837203	0.534347448009111	0.132138944837203	1.41290498452443	0	1.13751347029102	2.59231497339936	0	0	0	0.192189641763777	0	0	0.574908455400379	1.52655736826815	2.31369453892312	4.0015238880587
CPCG_0357_F1	LR	2.15845335180642	0.118259961252481	0	0.22400185368507	0.256902371559814	0.58504155162785	0	0.608085426405803	0	0.461112841743177	2.31466709278179	0	0.487157743935472	0	0.349568648871018	0	0.983509005570893	0.561454106087895	1.59604508830433	0.608085426405803	2.81242451669754
CPCG_0358_F1	LR	1.48347806053788	0	0	0.478789040692088	0	0.516129798683033	0.115846688599029	2.83848805305383	0.115846688599029	3.80191022011703	2.11722025133774	0	0.652938476817888	0	0.115846688599029	0	0	0.801210767296324	1.0660090722479	1.10743701424771	1.78747707100623
CPCG_0360_F1	HR	1.87492638526609	0	0.0766985326340995	2.89143130683627	0.112948963256985	0.671207422747495	0.0766985326340995	0.983593088305219	0.112948963256985	0.540839906088137	4.32062722038175	0.112948963256985	0.335459323892343	0	0.181730815729011	0.0766985326340995	0.181730815729011	0.276772361460428	2.33859797840104	1.51455245180167	3.96151235842824
CPCG_0362_F1	HR	0.629365009877025	0	0	1.53928446351926	0.271287015103544	0.460172035426538	0.0750266436520031	0.660083781217088	0	0.680016790786342	2.06870302737318	0	0.531343189748435	0.954439268823998	0.460172035426538	0	0	0.435276364087093	1.27288059133923	0.639745351844158	2.5663275652745
CPCG_0363_F1	LR	2.65215814206236	0	0	2.51635289317922	0	0.691409414015209	0	1.57542559997846	0	2.75480301469541	3.14380173706432	0	0.267446590263089	0.378392436331189	0.324457347419226	0	0.267446590263089	1.01634856511034	2.22773694005803	1.36428555812968	3.9705004817014
CPCG_0365_F1	LR	2.27287118755478	0	0	2.11826312678457	0.33513832591104	0.840299279363714	0.198449182641868	2.00673126532768	0	1.762883402816	4.46390535205744	0	0.136574289557863	0	0	0	0.136574289557863	0	2.65116962256555	1.64300633870841	4.55296817214533
CPCG_0368_F1	LR	1.20776378538011	0	0	0.826904525831158	0.0587873878484515	0.140956296258825	0.0293936939242257	0.833699774056865	0	0.87239895254047	2.95227601584486	0	0.11430986630542	0	0.0869339207923952	0	0	0.0869339207923952	1.53320112282585	0.820459931082496	2.73310444679023
CPCG_0372_F1	LR	2.17542769300282	0.340396766818526	0	0.265414403710143	0	1.47839964622808	0.249866177291022	0.979292221674797	0	1.23344349389943	2.79907594189799	0	0.679662839395134	0.217771614383363	0.340396766818526	0.280962630129265	0.866561463591594	0.857964366617262	1.08059245605683	1.43591527255794	2.73932490365694
CPCG_0373_F1	LR	2.27600756565893	0.0627158836763516	0	2.66706158441981	0.163716773955572	0.858326861638048	0.0627158836763516	1.3724376049234	0.351155261176326	1.83140758252599	3.71037489379307	0	0.395705760398418	0	0.149979759410844	0	0	0.30452709421256	2.68931238146691	2.09029614572594	4.07439642189275
CPCG_0374_F1	LR	1.89159275486046	0	0	2.61500129529971	0	0	0.177422221563369	1.33893019461279	0	1.58569906778787	4.16482709580834	0	0	0	0	0	0	0.255574159551168	2.61145019697295	1.20285881883823	4.56818244979536
CPCG_0375_F1	LR	2.27188277426197	0.089251740114705	0.089251740114705	0.9624749495035	0	0.691042905271439	0.171186227185578	0.9624749495035	0.117315801440944	1.0089219738041	4.22173198819726	0	0.117315801440944	0	0.089251740114705	0	0.222302372481118	0.117315801440944	2.90700779272197	1.35142159795192	3.89182748090089
CPCG_0377_F1	HR	2.0218958166711	0.27540405326028	0	2.55848599771305	0	0.721188214844924	0.100467383044809	0.989913329292145	0.191756205124501	1.33519073013321	3.20569341819377	0	0.314742503452265	0	0.352591834853255	0	0.100467383044809	0.66843851654	2.34240123931155	1.50133810154709	3.47945422196089
CPCG_0378_F1	HR	1.42782564924183	0.11825786103102	0	0.374990259459254	0.0899784724256265	0.979577049224878	0.406888908389462	0.695282121500055	0.223998074724749	0.695282121500055	2.52337453978218	1.1523005227416	0.561446016230397	0	0.330889736830521	0.0608760280405615	0.172524941344107	0.943586321521376	1.98898316411012	0.342160664301155	3.63926870996559
CPCG_0380_F1	LR	1.84233143921832	0.245546907155319	0	1.34863251343837	0	0.581418668978948	0	1.65272541721622	0	1.88900589427482	2.86430414522493	0	0.812014561647156	0.130291256037744	0.281191266656746	0	0.0887188819856144	0.964522553486705	1.76995757226187	1.06535018919926	3.83956558461297
CPCG_0381_F1	LR	1.49630455874458	0	0	1.68555364865153	0	0.739222908186416	0.0704154315228428	2.00417054258581	0	2.49831104240269	2.33406780541259	0.227405174746952	1.06360651224565	0	0.70376737874241	0.136197034805927	0.31098528437885	0.648109460275241	2.00907456615313	1.05093441631158	2.91627998318108
CPCG_0382_F1	HR	0.281234479823254	0.0887338492997854	0	0	0	0.581496396062681	0.500489426445645	0	1.76217068770867	0.0887338492997854	2.54087321640047	0.170231719769207	0.500489426445645	0.381137479326606	0.47196015809541	0	0.982159321354242	1.53013516132217	0.500489426445645	0.0887338492997854	0.348932829158123
CPCG_0389_F1	HR	1.0955699574284	0.0919711896939247	0.148898677791584	0.215699280621561	0.215699280621561	0.393167251601624	0.162545105436236	0.880824146642162	0.0919711896939247	0.783038116296263	3.08814734716549	0.0622441635671123	0.22863932516252	1.62493855192463	0.148898677791584	0.0622441635671123	1.55284324797632	0.202759236080603	1.81446190482996	1.96476218755054	2.57672247990307
CPCG_0391_F1	LR	2.26572202131274	0.102131235023228	0	2.6688173093322	0	0.252114600300861	0	1.06459887605585	0	1.68800528479592	3.35334560807478	0	0.475817891308963	0	0.102131235023228	0.102131235023228	0.194791497495315	1.01389060702009	2.291427901451	1.12456924073172	4.2522939773333
CPCG_0392_F1_R	HR	1.43945428388942	0.573903712079376	0.664594127775395	0.211819974279874	0.264590063076168	2.0891060257559	0.225272349306825	0.592711723271066	0.474160744360005	0.290455401818559	2.38647665059604	0	0.211819974279874	0	0.184171297370036	0.315350639287041	0.474160744360005	2.22905603334699	2.29909540455064	0.715306019133679	0.949365798878533
